"plotID","top_height","ba_ha","lor","qmdbh","dens","AGB_ha","V_ha","Vmerch_ha"
261,23.3,25.6757197512701,18.9805887011919,22.8628519655794,625.420246921902,105.836609255032,202.615117854078,178.943835589784
262,23.2,45.0617109300337,18.051184687403,17.6046369812968,1851.24393088883,194.798739291147,361.632842111167,299.151280613228
263,20.9,29.2379108822494,16.0667781978584,17.6072546601299,1200.80687409005,122.860918378034,201.146247381478,162.836239325263
264,25.2,44.9517401979277,18.7879745474919,13.9836137314878,2926.9667555945,185.59429512849,377.194243132808,256.955369213668
266,24.1,32.2552782807706,19.0894527376216,17.276594782327,1375.92454322818,126.103768435403,254.674899935238,198.401791393026
267,26,51.7245972913838,19.2680610223882,18.7351434475426,1876.2607407657,251.096266396403,439.282896373422,369.122344355301
268,26.7,40.0508808661536,19.2879198137366,21.7726305682264,1075.72282470567,174.534743287143,311.424826429817,260.327939861803
269,24.8,40.1386295332227,20.7801950151131,18.4520549894404,1501.00859261256,176.616732667235,356.995879590246,295.712159070362
270,23.2,41.0136601843469,17.4795977301961,19.1366507913159,1425.95816298194,163.113941273606,299.618421332121,240.625049231366
272,27.9,48.9232613739249,20.3081474573759,21.086416582381,1400.94135310506,222.155072082862,430.956716523954,380.518131697777
274,26.8,43.1648778984961,20.5729615292877,21.8537231928865,1150.7732543363,193.255178959855,377.451583582618,333.662508334222
275,25.4,31.5557842600976,20.5643653376653,19.7918620871824,1025.68920495192,135.99768350373,273.028912829994,230.22110398725
276,29.8,48.4074972649766,21.1880695307131,24.5133960390203,1025.68920495192,243.221105340563,428.067503717874,373.369469081242
277,26.4,44.367995235715,19.2601327812181,21.6896917240272,1200.80687409005,200.447505855713,366.514691426686,323.001029224967
279,27.4,41.2375705761783,20.8263061624232,19.3593877190665,1400.94135310506,183.137859475517,366.903930830698,315.905839951995
288,32.3,47.7409335546502,25.1811910237584,36.7407735961621,450.302577783769,321.742133336264,533.615857451644,494.439858913143
349,9.5,12.9766249811378,8.09639775910364,11.2698542752165,1300.87411359756,49.8254538328918,50.773165866513,20.3377712841234
350,5.4,0.337182014234696,5.4,13.1,25.0168098768761,1.35226037343599,0.910275649697278,0.529460502768743
351,10.6,8.64226129847593,8.23261263473313,8.35569381006862,1576.05902224319,28.0909159702752,30.1262230207312,0.676220861403909
352,11.3,12.4265355427292,9.39718951447776,9.78908637826902,1651.10945187382,45.2645359128238,56.1063776252034,9.46360442022126
353,13.7,24.9129390184095,10.8836651673997,12.286040278067,2101.41202965759,92.3273292742988,126.288814444093,69.8192419644074
354,10.4,18.3118854056637,9.38202105172802,11.3773044063854,1801.21031113508,66.2360209989134,82.7657709579798,33.0353795386954
355,15.3,24.5058488632363,11.0990658529193,19.7423561157224,800.537916060034,64.7652588482661,121.269636151529,103.203989492716
356,17.1,17.0497860708717,12.0832357059308,12.7955991845074,1325.89092347443,63.3913940868545,95.082314659709,59.0587995474131
357,12.2,15.1012587395,9.64822361641668,11.2248553241982,1526.02540248944,58.1639342057847,70.0512160579325,27.1993100651292
358,14.2,30.0947669885821,10.6791968186649,11.2048145389586,3052.05080497888,105.225979487638,150.183136738453,64.8512272131863
359,20.2,30.8535002011971,13.6654154620136,15.0857452631591,1726.15988150445,108.483785565303,187.43280426697,141.94748629813
360,23.8,34.97521188572,15.6930606895436,17.0826150721989,1526.02540248944,137.103758800862,237.543749117659,193.486268591412
361,20.1,28.501497975454,15.4792193404909,16.7021071908722,1300.87411359756,125.420972175172,200.834077197658,162.370957781526
362,19.5,33.3710774420301,15.614303301926,16.5511572541503,1551.04221236632,139.092052753407,230.064933145045,182.979902277236
363,22.4,27.825228075801,17.6334645082705,19.8338585364635,900.605155567538,102.92974544604,201.591910552865,174.296550472207
364,28.3,18.5631460313868,17.5264421906522,18.0495295573425,725.487486429406,81.3455708082997,143.220083259872,122.358338816465
365,25,38.6807756149087,17.5709154191252,16.891263499475,1726.15988150445,168.525654950192,301.237236954272,249.317965999405
