plotID,avg,std,ske,kur,p05,p10,p15,p20,p25,p30,p35,p40,p45,p50,p55,p60,p65,p70,p75,p80,p85,p90,p95,p99,d0,d1,d2,d3,d4,cov,dns
220,12.07,4.14,-1.13,3.51,2.55,4.35,7.67,9.7,10.7,11.32,11.91,12.32,12.77,13.19,13.53,13.88,14.21,14.58,14.95,15.32,15.7,16.15,16.79,18.03,4.9,6.4,34.7,15.6,0,74.1,61.6
221,11.12,3.52,0.68,4.69,6.01,7.01,7.75,8.34,8.96,9.49,10.01,10.38,10.73,11.05,11.37,11.67,12,12.3,12.7,13.21,13.86,14.84,17.57,22.4,2.1,30.8,53.3,6.2,2.9,97.5,95.4
224,13.26,4.3,-1.36,3.86,2.96,5.38,7.98,11.19,12.36,13.07,13.63,14.05,14.38,14.7,15,15.29,15.55,15.83,16.1,16.36,16.66,17.06,17.63,18.53,5,6.7,26.6,32.7,0,82.1,71
226,10.39,2.84,-1.32,4.45,3.67,6.22,7.76,8.72,9.39,9.85,10.23,10.55,10.84,11.09,11.31,11.57,11.81,12.06,12.32,12.58,12.84,13.17,13.62,14.48,4,17.6,48.6,0.2,0,81.7,70.4
227,12.86,2.82,-1.73,6.91,6.98,9.82,10.92,11.5,11.95,12.3,12.58,12.88,13.16,13.4,13.64,13.9,14.17,14.43,14.66,14.89,15.15,15.57,16.13,17.04,1.4,5.1,48.4,12,0,80.6,66.9
228,13.17,7.43,-0.13,1.7,1.7,2.41,3.42,4.7,6.27,7.74,9.01,10.5,12.73,14.45,15.89,16.96,17.87,18.67,19.39,20.3,21.31,22.53,23.91,25.66,10,13.1,9.9,19.6,14.6,74.6,68.8
229,11.83,4.43,-0.71,2.68,2.78,4.56,6.12,7.89,9.33,10.37,11.12,11.79,12.48,13.07,13.46,13.81,14.2,14.6,15.01,15.5,16.02,16.56,17.41,19.65,5.5,10.5,29.2,15.3,0.4,67.5,61
230,11.22,6.28,-0.18,1.69,1.76,2.18,2.61,3.38,4.89,6.61,8.2,9.72,11.04,12.48,13.58,14.42,15.26,15.98,16.68,17.27,18,18.73,19.93,22.13,16.1,14.3,20.6,29.3,4.4,87.1,84.7
231,12.64,3.61,-1.01,3.65,5.13,7.43,8.72,9.85,10.69,11.51,12.11,12.61,13.04,13.5,13.95,14.31,14.64,14.97,15.3,15.64,16.01,16.37,16.96,17.97,2,9.6,29,17.5,0,67.9,58.1
232,9.5,4.57,0.31,2.12,2.93,3.77,4.47,5.18,5.74,6.32,6.91,7.53,8.23,9.04,9.65,10.35,11.2,12.1,13.21,14.22,15.23,16.02,17.18,19.2,15.3,34.6,23.2,13.9,0.5,91.5,87.5
233,11.44,6.19,0.31,2.08,2.52,3.56,4.44,5.25,6.1,7.24,8.18,9.12,10.03,10.94,11.6,12.49,13.66,14.76,15.94,17.44,19.5,20.81,22.5,24.07,12.6,21.5,21.4,12.4,10.8,82.3,78.6
236,12.56,7.43,-0.15,1.49,1.83,2.39,2.97,3.64,4.64,6.06,7.8,9.96,12.17,13.72,15.23,16.79,18.01,18.88,19.62,20.27,20.83,21.51,22.38,23.63,15,10,10.7,17.3,16.8,74.6,69.8
237,11.37,6.67,0.06,1.66,1.88,2.56,3.19,3.87,4.86,6.01,7.33,8.71,10.1,11.29,12.71,14.1,15.13,16.2,17.33,18.51,19.35,20.33,21.71,23.15,13.8,13.4,14,16.8,8.3,71.4,66.2
238,11.67,4.62,-0.61,2.36,2.69,4.12,5.3,7.04,8.74,10.05,10.9,11.53,12.1,12.66,13.23,13.76,14.24,14.69,15.18,15.78,16.35,17,17.71,18.84,7.7,10.4,28.5,17.4,0,71.1,63.9
239,11.7,7.97,0.31,1.64,1.91,2.46,3,3.54,4.13,4.73,5.55,6.49,8.56,10.24,12.17,13.69,16.44,17.9,19.34,20.51,21.67,22.95,24.39,26.94,23.6,15.9,11.7,14,17.3,88.6,85.7
24,9.37,1.26,-0.15,3.94,7.31,7.84,8.15,8.41,8.6,8.77,8.92,9.07,9.22,9.36,9.5,9.65,9.8,9.98,10.18,10.39,10.62,10.94,11.39,12.5,0.1,67.8,28.6,0,0,99.1,96.6
240,14.73,2.87,-2.24,9.9,7.94,12.64,13.6,13.99,14.27,14.51,14.71,14.9,15.08,15.22,15.38,15.53,15.69,15.84,16,16.19,16.46,16.92,18.19,19.98,1.1,3.9,30.6,48.2,0.8,91.9,84.6
241,14.62,2.26,-1.22,7.83,11.14,12.02,12.6,13.04,13.4,13.72,14.01,14.27,14.52,14.75,15.03,15.29,15.53,15.78,16.07,16.41,16.79,17.21,17.88,19.02,0.2,1.6,46.3,40.2,0.1,95.7,88.4
242,13.38,3.51,-0.57,3.52,7.01,8.84,10.02,10.79,11.39,11.92,12.39,12.82,13.27,13.65,14.04,14.45,14.87,15.3,15.74,16.24,16.92,17.75,18.72,20.1,1.3,8.6,35.6,22.2,0.8,79.7,68.5
243,12.34,4.38,-1.34,3.4,2.34,4.13,5.78,7.93,12.39,13.01,13.44,13.74,13.98,14.18,14.37,14.54,14.71,14.88,15.06,15.23,15.44,15.71,16.2,17.64,6.9,7.9,41.3,21.5,0,89.2,77.6
244,13.3,3.89,-0.89,4.06,3.95,8.54,10.24,10.83,11.52,12.12,12.61,13.02,13.36,13.72,14.12,14.51,14.94,15.36,15.8,16.25,16.9,17.64,18.84,20.48,4.2,5.8,39.5,25.1,1.4,84.1,76
